feature,sys,dia,tl,hdl,ldl
cl_38,0.012731001,0.024422822,0,0.000783524,0.003710024
cl_cat0901,0,0,0,0,0
cl_34,0,0,0,0,0
cl_37,0.097002652,0.041472751,0.004252428,0.001086843,0.00132884
cl_31,0,0,0,0,0
cl_32,0,0,0,0,0
cl_33,0,0,0,0,0
cl_cat0218,0,0,0,0,0
cl_1107,0,0,0,0,0.035384702
cl_1106,0,0,0,0.009575011,0
cl_liverusg_echo,0,0,0,0,0
cl_269003,0,0,0.00724446,0.002824076,0
cl_cat0973,0,0,0,0,0
cl_100006,0,0.060721768,0,0.00332021,0.030177191
cl_100007,0,0,0,0,0
cl_269004,0,0,0,0,0.01725355
cl_100005,0.151586196,0.052061069,0.001771643,0.001903908,0.006575942
cl_143,0.216998227,0.139903351,0.004065981,0.002686813,0.000205476
cl_pm3430,0,0,0,0,0
cl_39_y,0,0,0.007119108,0,0.014817656
cl_liverusg_tract,0,0,0.004671851,0,0
cl_fundus_athero,0,0,0,0,0
cl_1345,0.008627249,0.011937591,0.000342588,0.000171124,0.000663595
cl_lipoma,0,0,0,0,0
cl_2420,0.017605054,0.009547145,0.003518536,0.000749843,0
cl_pm360,0,0,0,0,0
cl_pm3194,0,0,0,0,0
cl_med_status,0,0,0,0,0
cl_bbv_elasticity,0,0,0,0,0
cl_pancreasusg,0,0,0,0,0
cl_cat1304,0,0,0,0,0
cl_cat1305,0,0,0,0,0
cl_cat1302,0,0,0,0,0
cl_cat1303,0,0,0,0,0
cl_cat1301,0,0,0,0,0
cl_hx_hypertyroid,0,0,0,0,0
cl_1850,0.922504517,0.531168575,0.069075667,0,0.006764102
cl_heart_surgery,0,0,0,0,0
cl_abdomen_palpate,0,0,0,0,0
cl_pm100010,0,0,0,0,0
cl_cat0715,0,0,0,0,0
cl_1112,0,0,0,0,0
cl_2404,0.214030384,0.142406336,0.008365431,0.003256209,0.00228095
cl_2406,0.001431799,0.005453601,3.23E-05,0.001086707,0.002185546
cl_ct_head,0,0.714673544,0,0,0
cl_1117,0.013810587,0.017860163,0.006760423,0.000757573,0.000556796
cl_2403,0.153429273,0.18804025,0.012278585,0.007410191,0
cl_1115,0.027097144,0.003808329,0.001252797,0.00069465,0.000812404
cl_spleenusg,0,0,0,0,0
cl_bbv_speed,0,0,0,0,0
cl_urine_color,0,0,0,0,0
cl_bmd,0,0,0,0,0
cl_allergy,0,0,0,0,0
cl_pm300005,0,0,0,0,0
cl_conslt_hyperlipid,0,0,0,0,0
cl_2333,0,0.095894068,0,0.000711744,0
cl_3429,0.024280373,0.002339155,0.001170944,7.77E-05,0.001358823
cl_cat0415,0,0,0,0,0
cl_cat0414,0,0,0,0,0
cl_cat1313,0,0,0,0,0
cl_rhythm,0,0,0,0,0
cl_1840,0,0.036850461,0.017933639,0,0
cl_cat0705,0,0,0,0,0
cl_1845,0,0.107366173,0.259624126,0,0
cl_cat0707,0,0,0,0,0
cl_cat0706,0,0,0,0,0
cl_269020,0,0,0.003886848,0,0
cl_269021,0,0,0,0,0
cl_269022,0,0,0,0,0
cl_269023,0,0,0,0,0
cl_269024,0,0,0,0,0
cl_269025,0,0,0.030537798,0,0
cl_320,0.154692849,0.080028803,0,0,0
cl_age_cat,0,0.000165181,0,0,0
cl_heart_sound,0,0,0,0,0
cl_lens,0,0,0,0,0
cl_liverusg_texture,0,0,0,0,0
cl_gender,0,0,0,0,0
cl_cat1328,0,0,0,0,0
cl_lung_capacity,0,0,0,0,0
cl_mri_head,0,0,0,0,0
cl_1873,0,0,0.024802916,0,0.010244276
cl_murmur,0,0,0,0,0
